iter	Passed	Remaining
0	21	32426
1	42	31458
2	62	31281
3	83	31291
4	105	31597
5	127	31764
6	148	31766
7	172	32189
8	193	32050
9	214	32029
10	236	32010
11	258	32051
12	282	32304
13	305	32398
14	329	32585
15	353	32803
16	377	32974
17	402	33152
18	426	33220
19	450	33332
20	474	33421
21	500	33592
22	521	33504
23	544	33486
24	567	33487
25	592	33562
26	614	33502
27	638	33546
28	661	33557
29	683	33487
30	705	33416
31	728	33408
32	751	33395
33	774	33392
34	800	33509
35	823	33496
36	848	33536
37	872	33579
38	896	33586
39	920	33606
40	942	33555
41	964	33494
42	984	33374
43	1005	33287
44	1026	33189
45	1048	33144
46	1070	33090
47	1091	33012
48	1111	32927
49	1134	32897
50	1157	32886
51	1177	32788
52	1199	32744
53	1222	32728
54	1245	32726
55	1268	32718
56	1290	32663
57	1313	32658
58	1338	32678
59	1362	32690
60	1384	32661
61	1407	32634
62	1430	32633
63	1451	32560
64	1472	32504
65	1494	32465
66	1515	32414
67	1536	32347
68	1556	32275
69	1578	32253
70	1601	32230
71	1622	32172
72	1642	32102
73	1664	32066
74	1685	32016
75	1704	31940
76	1726	31899
77	1746	31838
78	1767	31795
79	1790	31786
80	1812	31751
81	1833	31711
82	1855	31686
83	1879	31688
84	1901	31658
85	1923	31625
86	1945	31596
87	1968	31580
88	1989	31546
89	2011	31507
90	2032	31472
91	2052	31414
92	2074	31383
93	2096	31354
94	2120	31363
95	2142	31331
96	2162	31281
97	2185	31272
98	2208	31251
99	2232	31248
100	2255	31239
101	2276	31207
102	2299	31186
103	2320	31152
104	2339	31086
105	2360	31036
106	2382	31023
107	2403	30976
108	2424	30935
109	2445	30896
110	2468	30884
111	2491	30871
112	2512	30833
113	2535	30828
114	2556	30789
115	2581	30798
116	2603	30777
117	2622	30716
118	2643	30681
119	2667	30676
120	2688	30637
121	2709	30604
122	2731	30578
123	2752	30543
124	2774	30515
125	2799	30526
126	2820	30494
127	2840	30450
128	2863	30436
129	2885	30413
130	2907	30382
131	2927	30338
132	2949	30312
133	2972	30300
134	2993	30268
135	3015	30247
136	3041	30255
137	3062	30222
138	3086	30222
139	3109	30202
140	3133	30199
141	3154	30162
142	3178	30160
143	3200	30137
144	3224	30129
145	3247	30117
146	3270	30106
147	3293	30090
148	3315	30064
149	3338	30050
150	3361	30028
151	3381	29989
152	3403	29964
153	3426	29945
154	3448	29927
155	3470	29902
156	3493	29881
157	3517	29877
158	3538	29843
159	3561	29828
160	3584	29811
161	3605	29778
162	3628	29760
163	3650	29739
164	3674	29730
165	3695	29694
166	3715	29660
167	3735	29619
168	3757	29590
169	3778	29561
170	3799	29528
171	3819	29493
172	3842	29475
173	3864	29452
174	3886	29428
175	3907	29394
176	3928	29366
177	3950	29338
178	3973	29326
179	3993	29282
180	4015	29263
181	4039	29250
182	4061	29228
183	4081	29194
184	4107	29193
185	4130	29178
186	4155	29177
187	4179	29166
188	4203	29157
189	4224	29125
190	4245	29097
191	4269	29084
192	4290	29052
193	4311	29025
194	4334	29009
195	4354	28969
196	4378	28957
197	4415	29034
198	4443	29053
199	4472	29071
200	4495	29055
201	4517	29029
202	4540	29006
203	4561	28980
204	4585	28966
205	4608	28945
206	4631	28927
207	4651	28895
208	4674	28873
209	4697	28858
210	4720	28836
211	4742	28812
212	4766	28801
213	4789	28784
214	4811	28757
215	4834	28735
216	4857	28719
217	4882	28711
218	4905	28694
219	4926	28665
220	4949	28643
221	4973	28632
222	4997	28619
223	5019	28593
224	5043	28580
225	5066	28558
226	5088	28537
227	5111	28519
228	5135	28505
229	5158	28482
230	5180	28461
231	5203	28437
232	5228	28428
233	5249	28403
234	5272	28379
235	5296	28367
236	5320	28352
237	5340	28318
238	5361	28287
239	5383	28263
240	5407	28247
241	5429	28223
242	5452	28205
243	5475	28184
244	5496	28153
245	5517	28128
246	5541	28111
247	5562	28083
248	5583	28053
249	5604	28023
250	5627	28001
251	5664	28051
252	5687	28034
253	5709	28009
254	5732	27986
255	5753	27958
256	5777	27942
257	5800	27921
258	5823	27903
259	5844	27875
260	5869	27863
261	5893	27848
262	5919	27842
263	5943	27825
264	5967	27809
265	5992	27797
266	6014	27774
267	6037	27754
268	6059	27730
269	6082	27707
270	6105	27690
271	6130	27677
272	6151	27649
273	6174	27627
274	6195	27598
275	6215	27562
276	6236	27536
277	6259	27514
278	6283	27496
279	6306	27479
280	6329	27456
281	6354	27447
282	6378	27428
283	6399	27401
284	6424	27389
285	6446	27362
286	6468	27340
287	6491	27317
288	6512	27288
289	6533	27258
290	6555	27236
291	6578	27213
292	6603	27201
293	6625	27178
294	6651	27168
295	6674	27150
296	6697	27130
297	6721	27110
298	6742	27081
299	6767	27071
300	6790	27048
301	6813	27028
302	6833	26995
303	6855	26971
304	6882	26963
305	6903	26938
306	6927	26918
307	6949	26893
308	6970	26866
309	6989	26832
310	7014	26816
311	7037	26798
312	7059	26773
313	7085	26761
314	7106	26733
315	7127	26705
316	7151	26689
317	7173	26663
318	7193	26632
319	7217	26615
320	7244	26608
321	7270	26598
322	7293	26578
323	7319	26565
324	7339	26536
325	7363	26516
326	7387	26501
327	7422	26523
328	7447	26506
329	7471	26489
330	7495	26472
331	7517	26446
332	7539	26422
333	7564	26408
334	7590	26395
335	7611	26369
336	7653	26413
337	7681	26409
338	7706	26394
339	7729	26370
340	7754	26354
341	7775	26328
342	7799	26308
343	7822	26288
344	7846	26267
345	7867	26241
346	7890	26219
347	7912	26193
348	7934	26167
349	7957	26146
350	7980	26125
351	8003	26101
352	8025	26076
353	8046	26049
354	8068	26024
355	8091	26000
356	8108	25959
357	8130	25936
358	8150	25905
359	8172	25880
360	8194	25854
361	8216	25830
362	8238	25805
363	8261	25784
364	8285	25763
365	8308	25744
366	8331	25720
367	8355	25703
368	8379	25682
369	8404	25667
370	8426	25642
371	8450	25623
372	8471	25595
373	8492	25567
374	8516	25550
375	8539	25526
376	8559	25497
377	8581	25470
378	8603	25447
379	8626	25424
380	8647	25396
381	8669	25372
382	8691	25347
383	8713	25323
384	8735	25300
385	8758	25277
386	8784	25263
387	8805	25236
388	8826	25207
389	8848	25182
390	8868	25153
391	8890	25128
392	8911	25101
393	8932	25075
394	8955	25052
395	8978	25032
396	9000	25005
397	9023	24983
398	9044	24957
399	9067	24935
400	9088	24909
401	9106	24873
402	9128	24848
403	9151	24826
404	9172	24798
405	9195	24776
406	9215	24749
407	9237	24725
408	9261	24705
409	9283	24681
410	9306	24658
411	9327	24632
412	9350	24609
413	9373	24589
414	9396	24567
415	9419	24544
416	9441	24521
417	9463	24496
418	9484	24470
419	9507	24447
420	9527	24419
421	9550	24396
422	9573	24374
423	9596	24353
424	9617	24327
425	9641	24306
426	9661	24277
427	9684	24257
428	9707	24235
429	9731	24216
430	9754	24195
431	9776	24170
432	9798	24146
433	9820	24121
434	9842	24096
435	9865	24075
436	9887	24050
437	9909	24026
438	9930	23999
439	9953	23979
440	9974	23951
441	9995	23926
442	10018	23905
443	10042	23885
444	10065	23863
445	10088	23842
446	10112	23821
447	10133	23796
448	10158	23779
449	10181	23755
450	10206	23738
451	10228	23716
452	10254	23699
453	10275	23674
454	10297	23650
455	10320	23628
456	10343	23606
457	10366	23584
458	10390	23565
459	10413	23544
460	10434	23517
461	10458	23497
462	10479	23472
463	10502	23450
464	10523	23423
465	10544	23396
466	10567	23375
467	10589	23350
468	10611	23326
469	10635	23308
470	10656	23282
471	10679	23259
472	10702	23236
473	10727	23219
474	10746	23188
475	10776	23182
